UnidadesManejo,Clasificacion,CodigoCauce,Superficie,LongTotal,LongRevest,EfRevest,LongHijuelas,PorcRevest,EfTierra,EfGlobal,Caudal,CoefMoritz,PerdidaPorcentaje,TiempoMojado,PerdidaTiempo,EfUM,CaudalObrador,CaudalBalance,EfAp
Anchayuyo sup,canal,9723,338.42,1.64,0.24,0.99,1.36,,0.97,0.97,0.23,0.49,0.04,0.8,0.03,0.96,0.328,,
Arroyo Río de la Pampa o Salto,hijuela,9727,798.58,8.71,3.24,0.99,5.66,,0.94,0.94,0.55,0.46,0.09,0.6,0.06,0.94,,,
Arroyo Río de la Pampa o Salto,canal,9727,129.28,1.41,0.52,0.99,0.92,,0.94,0.95,0.09,0.46,0.06,0.8,0.05,0.94,,,
Canal El Peral,canal,9730,438.98,12.76,1.28,0.93,0.83,,0.92,,0.3,0.3,0.12,0.6,0.07,0.92,,2.67,
Hijuela Evans,hijuela,9731,216.22,6.04,0.61,0.89,0.79,,0.92,,0.11,0.3,0.12,0.9,0.11,0.92,0.043,,
Valenzuela,hijuela,9734,4.16,1.7,0.24,0.99,1.41,,0.97,0.54,0.001,0.3,0.92,0.5,0.46,0.96,,,
Ruano,hijuela,9736,38.32,0.11,0.02,0.99,0.09,,0.97,1,0.02,0.3,0.01,0.5,0,0.96,0.182,,
Ahumada,hijuela,9737,27.1,0.3,0.04,0.99,0.25,,0.97,1,0.85,0.49,0,0.9,0,0.96,,,
Aveiro,hijuela,9738,32.07,1.87,0.27,0.99,1.55,,0.97,0.92,0.02,0.3,0.13,0.6,0.08,0.96,,,
Rodriguez,hijuela,9739,25.31,2.54,0.37,0.99,2.11,,0.97,0.88,0.02,0.3,0.23,0.5,0.12,0.96,,,
Quero,hijuela,9741,0.68,0.13,0.02,0.99,0.11,,0.97,0.87,0.0004,0.3,0.17,0.8,0.13,0.96,,,
Maslup,hijuela,9742,8.72,0.06,0.01,0.99,0.05,,0.97,1,0.1,0.3,0,0.8,0,0.96,,,
Matriz Este,hijuela,9743,74.56,4.5,0.65,0.99,3.73,,0.97,0.91,0.05,0.3,0.14,0.6,0.09,0.96,,,
Mario Zingaretti,hijuela,9744,38.31,4.5,0.65,0.99,3.73,,0.97,0.87,0.03,0.35,0.34,0.4,0.13,0.96,,,
Gomina,hijuela,9745,156.95,6.7,0.96,0.99,5.56,,0.97,0.9,0.1,0.3,0.13,0.8,0.1,0.96,,,
Crespi,hijuela,9746,77.45,3.87,0.56,0.99,3.21,,0.97,0.95,0.05,0.3,0.12,0.4,0.05,0.96,,,
El Abra,hijuela,9747,38.48,3.28,0.92,0.99,2.36,,0.92,0.89,0.03,0.45,0.28,0.4,0.11,0.92,,,
Raffa,hijuela,9748,21.74,,0,0.99,0,,0.92,1,0.1,0.3,0,0.8,0,0.92,,,
Zingaretti,hijuela,9749,99.68,,0,0.99,0,,0.92,1,0.02,0.3,0,0.5,0,0.92,,,
Coletto,hijuela,9750,20.92,3.6,1.01,0.99,2.59,,0.92,0.81,0.01,0.3,0.38,0.5,0.19,0.92,,,
Correa,hijuela,9751,207.82,8.32,2.33,0.99,5.99,,0.92,0.93,0.14,0.3,0.14,0.5,0.07,0.92,,,
Innes,hijuela,9753,5.82,3.24,0.91,0.99,2.33,,0.92,0.94,0.05,0.3,0.12,0.5,0.06,0.92,,,
Mateo I y II,hijuela,9754,117.99,1.98,0.55,0.99,1.43,,0.92,0.97,0.08,0.35,0.07,0.4,0.03,0.92,,,
Marcotti,hijuela,9756,19.05,2.45,0.69,0.99,1.76,,0.92,0.83,0.01,0.3,0.35,0.5,0.17,0.92,,,
Salamone,hijuela,9757,42.39,0.64,0.18,0.99,0.46,,0.92,0.98,0.04,0.3,0.04,0.4,0.02,0.92,,,
Salarrafia,hijuela,9758,75.15,8.3,2.32,0.99,5.98,,0.92,0.87,0.07,0.3,0.27,0.5,0.13,0.92,,,
Los Cuarteles,hijuela,9759,164.54,2.93,0.82,0.99,2.11,,0.92,0.96,0.11,0.3,0.08,0.5,0.04,0.92,,,
Blanco,hijuela,9760,41.82,1.9,0.53,0.99,1.37,,0.92,0.95,0.04,0.56,0.13,0.4,0.05,0.92,,,
Último tramo,hijuela,9761,154.75,,0,0.99,0,,0.92,1,0,0.3,0,0.8,0,0.92,,,
Salamanca,canal,9765,349.46,9.53,1.75,0.99,7.76,,0.7,0.83,0.11,0.3,0.29,0.6,0.17,0.7,,,
Hijuela Gualtallary,hijuela,9768,2080.9,21.88,0.9,0.99,20.97,4.13,0.91,0.9,1.43,0.4,0.103901282,0.9,0.093511154,,,,
Canal El Peral Unificado,,9769,655.2,21.07,2.12,0.99,18.79,10.09,0.92,0.91,,,,,,,,,
Arroyo Guiñazu,hijuela,9774,569,21.07,2.12,0.99,18.79,10.09,0.8,0.78,0,0.3,0,0.8,0,0.8,,12.57,
Las Rosas A. Guiñazu,hijuela,9776,569,21.07,2.12,0.99,18.79,10.09,0.8,0.78,0,0.3,0,0.8,0,0.8,,12.57,
El Carmen - A Guiñazu,hijuela,9776,569,21.07,2.12,0.99,18.79,10.09,0.8,0.78,0,0.3,0,0.8,0,0.8,,12.57,
El Guindo - A Guiñazu,hijuela,9777,569,21.07,2.12,0.99,18.79,10.09,0.8,0.78,0,0.3,0,0.8,0,0.8,,12.57,
Rincon,hijuela,50141,803.52,27.65,83.24,0.99,24.3,,0.73,0.73,0.25,0.32,0.34,0.8,0.27,0.73,,,
PD2004 Yaucha Aguanda,,,,,,,,,,80,,,,,,38,,,70.26
