UM,Cauce,CodigoCauce,EfC,Superficie,LongitudRed,Revestida,SinRevestir,RevestPorc,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela 2ª Reta,2330,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Chacón,2331,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Juan AGarcía,2332,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Cano,2333,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Correa,2334,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela 1ª Maure,2335,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Arrascaeta,2336,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Lelio,2337,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela 2ª Cabrera,2338,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Olivares,2339,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela González,2340,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Crisostomo 2ª Maure,2341,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Day,2342,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Castro,2343,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Dell'Arciprette,2344,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Baldor,2345,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Olguín,2346,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Tobar,2347,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Parejas,2348,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Benegas,2349,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Alcaráz,2350,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Las Corias,2351,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Orrego,2352,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela 1ª González,2353,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela NEstrella,2354,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Maravilla,2355,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Neyra,2356,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela PNGuiñazú,2357,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,"Rama Viejo Retamo Hijuela 1erRasgo ""Pedro Videla""",2358,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,"Rama Viejo Retamo Hijuela 2doRasgo ""José Videla""",2359,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela 3erRasgo Sotomayor,2360,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,"Rama Viejo Retamo Hijuela 5toRasgo ""Juan De Dios Morales""",2361,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,"Rama Viejo Retamo Hijuela 4toRasgo ""Eloy González""",2362,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,Rama Viejo Retamo Hijuela Villa Junín,2363,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
Canal Mz.Constitución,RAMA NUEVO RETAMO,2364,78.94,11290.45,341010.48,25180.69,315829.79,0.074,,,
