CodigoCauce,Ano,Obra,Modalidad,metros,InvUsd,InvMtUsd,hectareas,clasif,ramLong,ramLongTierra,ramEfc,ramSup,hijLong,hijLongTierra,hijEfc,hijSup,canLong,canLongTierra,canEfc,canSup,longitud,haObrador,VolHa,kmTotal,EfPost,efAnte,superficie,longTierra,ahorroAgua1,ahorroAgua2,ahorroAgua3,ahorroAgua4,vAhorro1,vAhorro2,vAhorro3,vAhorro4
5006,2017,Imp. Can. Vista Flores,Insp.,1400,71764.70588235294,51.3,1840.97,Canal,NA,NA,NA,NA,NA,NA,NA,NA,5.44,4.33,0.78,389.52,1275,1840.97,9275.93,2.776792,0.98,0.78,389.52,4.33,892992.9739012875,892992.9739012877,892992.9739012875,4220510.564702848,0.10560000000000001,0.10560000000000001,0.10560000000000001,0.02244
5001,2017,Unif. y Rev.  Hij. Silva- 5001,Insp.,340,41176.470588235294,121.1,2269.18372,Hijuela,NA,NA,NA,NA,NA,NA,NA,NA,5.73,4.89,0.79,328.86,3400,2269.18,9275.93,4.806753,0.995,0.78,2269.18372,18.79,295594.9036360622,295594.9036360623,295594.9036360622,295594.9036360622,0.18348000000000003,0.18348000000000003,0.18348000000000003,0.18348000000000003
9776,2017,Rev. Hij. Las Rosas,Insp.,600,35988.23529411765,60,237.7,Hijuela,NA,NA,NA,NA,21.07,18.79,0.8,569,NA,NA,NA,NA,600,237.7,7810,2.043927,0.995,0.8,569,18.79,112953.79797764769,112953.79797764767,112953.79797764769,47186.49873336882,0.42108,0.42108,0.42108,1.00716
5012,2017,Rev. Can. Capacho,Insp.,100,14705.882352941177,147.1,934.119,Hijuela,NA,NA,NA,NA,16.89,16.51,0.72,715.27,7.33,7.16,0.72,310.43,100,934.119,9275.93,0.014320000000000001,0.995,0.72,715.27,16.51,28789.62292409473,28789.62292409473,28789.62292409473,37598.296833688604,0.67452,0.67452,0.67452,0.51612
9707,2017,Ent. Can. Mz. Este,Insp.,1000,117647.05882352941,117.6,3235,Canal,NA,NA,NA,NA,NA,NA,NA,NA,126.72,105.12,0.97,3125.8,1000,3235,6833.08,0.331258,1,0.97,3125.8,105.12,197089.76617275493,197089.76617275493,197089.76617275493,203975.10831430744,0.78804,0.78804,0.78804,0.76164
5700,2018,Unif. Hij. Simonovich - Nueva Florida,Insp.,1300,66435.73381950775,51.1,3820,Hijuela,NA,NA,NA,NA,5.31,4.32,0.7,235.5,9.72,7.91,0.7,337.1,3155,3820,11395.1,17.294897000000002,0.98,0.7,235.5,4.32,553978.3257847222,553978.3257847222,553978.3257847222,8985975.390648147,0.1584,0.1584,0.1584,0.00924
5014,2018,Mej. Can. Rincón,Insp.,200,7358.1403828623515,36.8,829.94,Canal,NA,NA,NA,NA,27.65,24.3,0.73,803.52,1.64,1.44,0.73,47.98,691.4,829.94,9275.93,0.753005,0.99,0.73,829.94,1.44,44672.80931052501,772733.4589240751,772733.4589240751,772733.4589240751,0.21780000000000002,0.013200000000000002,0.013200000000000002,0.013200000000000002
9774,2018,Rev. Can. Mz. Arroyo Guiñazu,Adm.,440,29170.46490428441,66.3,994,Canal,NA,NA,NA,NA,21.07,18.79,0.8,569,NA,NA,NA,NA,440,994,7810,NA,0.995,0.78,994,18.79,141085.05054603514,141085.05054603514,141085.05054603514,141085.05054603514,0.27324,0.27324,0.27324,0.27324
5008,2018,C. Uco,Lic.,2060,149895.4968094804,72.8,621.2951,Canal,NA,NA,NA,NA,NA,NA,NA,NA,4.84,4.52,0.74,169.34,1955,621.295,9275.93,6.01895,0.98,0.74,169.34,4.52,519162.8394283219,519162.83942832187,519162.8394283219,1904767.4987534145,0.289,0.289,0.289,0.079
9727,2019,Rev. Can. Pampa o Salto - R. Norte,Adm.,518,47945.20547945206,92.6,927.28,Canal,NA,NA,NA,NA,8.71,5.66,0.94,798.58,1.41,0.92,0.94,129.28,2063,927.3,10202,15.905479,0.995,0.94,129.28,0.92,694559.6175732869,694559.6175732869,694559.6175732869,4981832.009462853,0.09108000000000001,0.09108000000000001,0.09108000000000001,0.013200000000000002
5006,2019,Rev. Can. Vista Flores,Adm.,510,58036.963470319635,113.8,1840.97,Canal,NA,NA,NA,NA,NA,NA,NA,NA,5.44,4.33,0.78,389.52,1275,1840.97,9275.93,2.776792,0.995,0.78,389.52,4.33,330283.73513572046,330283.73513572046,330283.73513572046,1561004.4359026682,0.23232,0.23232,0.23232,0.04884
9777,2019,C. Arroyo Guiñazú (3º T.),Adm.,850,118731.32420091325,139.7,994,Canal,NA,NA,NA,NA,21.07,18.79,0.8,569,NA,NA,NA,NA,850,994,7810,0,0.98,0.78,994,18.79,268441.8618201171,268441.8618201171,268441.8618201171,268441.8618201171,0.5834400000000001,0.5834400000000001,0.5834400000000001,0.5834400000000001
9776,2019,Rev. Can. Arroyo Guinazú,Adm.,850,61201.59817351599,72,237.7,Canal,NA,NA,NA,NA,21.07,18.79,0.8,569,NA,NA,NA,NA,600,237.7,7810,2.043927,0.995,0.78,237.7,18.79,65176.35137546568,65176.35137546567,65176.35137546568,65176.35137546568,1.23948,1.23948,1.23948,1.23948
5007,2020,Rev. Hij. Vargas -C. Vista Flores,Lic.,1153,46516.22857142857,40.3,224.18,Hijuela,NA,NA,NA,NA,64.79,51.56,0.78,4479.52,NA,NA,NA,NA,1336,224.18,9275.93,0,0.995,0.78,4479.52,51.56,721145.7105293925,721145.7105293925,721145.7105293925,36090.12693022449,0.065,0.065,0.065,1.289
5004,2020,Rev. C. Manzano,Adm.,1300,128571.42857142857,98.9,109.9,Canal,NA,NA,NA,NA,NA,NA,NA,NA,5.73,4.89,0.79,328.86,1300,109.9,9275.93,0.07633100000000001,0.995,0.79,328.86,4.89,637460.355042889,637460.355042889,637460.355042889,213029.53542301743,0.26664000000000004,0.26664000000000004,0.26664000000000004,0.79728
9705,2020,Hij. Palma - Cruce Calle La Costa,Adm.,11,5714.285714285715,519.5,113,Hijuela,NA,NA,NA,NA,20.06,14.82,0.74,475.43,NA,NA,NA,NA,600,113,34252,NA,0.98,0.74,475.43,14.82,8765.461667570307,8765.46166757031,8765.461667570307,2083.371197516869,0.8606400000000001,0.8606400000000001,0.8606400000000001,3.62076
5003,2020,Rev. C. Manzano,Lic.,1028,110847.72857142857,107.8,287.83,Canal,NA,NA,NA,NA,35.04,29.88,0.79,2010.44,NA,NA,NA,NA,1028,287.83,9275.93,0,0.995,0.78,287.83,18.79,113364.62044228433,113364.62044228431,113364.62044228433,113364.62044228433,0.978,0.978,0.978,0.978
9724,2021,Imp. C. Quebrada de las Casas,Adm.,500,30584.670235294117,61.2,401,Canal,NA,NA,NA,NA,NA,NA,NA,NA,1.41,0.92,0.94,129.28,500,401,7752.93,NA,0.98,0.94,129.28,0.92,501803.06832417386,501803.06832417386,501803.06832417386,1556490.0247369562,0.08052000000000001,0.08052000000000001,0.08052000000000001,0.026400000000000003
5010,2021,Imp. C. R. Centro Diq. VdU,Lic.,675,99828.87700534759,147.9,3457.15,Canal,NA,NA,NA,NA,NA,NA,NA,NA,5.37,5.02,0.74,285.34,960,3457.15,9275.93,1.742034,0.98,0.74,285.34,5.02,258094.03694094866,258094.03694094866,258094.03694094866,3127040.7226831177,0.387,0.387,0.387,0.032
9776,2021,Rev. Hij. Las Rosas,Adm.,750,43951.87165775401,58.6,NA,Hijuela,NA,NA,NA,NA,21.07,18.79,0.8,569,NA,NA,NA,NA,600,237.7,7810,2.043927,0.995,0.8,569,18.79,141192.24747205962,141192.24747205962,141192.24747205962,NA,0.41052,0.41052,0.41052,NA
5014,2021,Imp. TR. C. Rincón,Adm.,500,50262.0320855615,100.5,829.94,Canal,NA,NA,NA,NA,27.65,24.3,0.73,803.52,1.64,1.44,0.73,47.98,691.4,829.94,9275.93,0.753005,0.98,0.73,829.94,1.44,110553.92203109723,1912320.1761252363,1912320.1761252366,1912320.1761252366,0.6006,0.03432,0.03432,0.03432
5701,2021,Imp. R. de Afuera. Yaucha,Adm.,200,19625.66844919786,98.1,1912.35,Hijuela,NA,NA,NA,NA,94.82,77.16,0.7,1845.2,NA,NA,NA,NA,770,1912.35,11395.1,58.655587000000004,0.98,0.7,1845.2,77.16,37387.246305650595,37387.246305650595,37387.246305650595,38747.832469440116,0.6930000000000001,0.6930000000000001,0.6930000000000001,0.6679200000000001
5004,2021,Imp. - Hij. Cejas,Lic.,1500,114625.66844919787,76.4,109.9,Hijuela,NA,NA,NA,NA,NA,NA,NA,NA,5.73,4.89,0.79,328.86,1300,109.9,9275.93,0.07633100000000001,0.98,0.78,109.9,18.79,62207.15109346462,62207.151093464614,62207.15109346462,62207.15109346462,1.843,1.843,1.843,1.843
