Rio ,Zona,UM,Inspeccion,Cauce,CodigoCauce,TierraQ0,TierraQ0rep,TierraQ0medio,TierraQl,TierraQlrep,TierraQlmedio,Distancia,KmInvert,EfcTierra,LongMedia,EfTierraLong,EfCanales,EfHijuelas,KmCanales,KmHijuela,EfTotalManejo,EfCondRevestido,EfCondPromedio,KmRevestido,KmTierra,EfUnidadManejo
Mendoza,Segunda,Algarrobal,Algarrobal,Hij. Arena (del norte),1100,0.082,0.078,0.08,0.073,0.073,0.073,0.82,0.113,0.893,4.33,0.427,0.908,0.52,4.58,16.52,0.604,0.934,0.971,4.3,16.81,0.679
Mendoza,Primera,CompuertasVistalba,Compuertas,Canal Compuertas,1106,0.177,0.177,0.177,0.172,0.172,0.172,1.79,0.016,0.984,2.83,0.955,0.955,,8.93,,0.955,0.993,0.993,0.85,8.08,0.959
Mendoza,Segunda,Margen derecha,Luján Sur,Canal Corvalán,1112,0.824,0.841,0.832,0.718,0.713,0.715,3.24,0.047,0.954,4.2,0.822,0.554,,23.95,,0.554,0.985,0.985,1.25,22.71,0.576
Mendoza,Segunda,Margen derecha,Luján Sur,Rama Totora,1113,0.194,0.194,0.194,0.094,0.088,0.091,4.53,0.166,0.847,2.8,0.627,0.554,,23.95,,0.554,0.985,0.985,1.25,22.71,0.576
Mendoza,Tercera,Cruz de Piedra,Lunlunta,Canal Gómez,1116,0.24,0.24,0.22,0.201,0.2,0.201,1.3,0.071,0.931,1.62,0.891,0.888,0.8,13.45,34.01,0.825,0.978,0.987,9.33,38.13,0.857
Mendoza,Tercera,Cruz de Piedra,Naciente Chachingo,Hij.Pontis,1125,0.219,,0.219,0.216,,0.216,0.93,0.029,0.972,2.15,0.94,0.888,0.8,13.45,34.01,0.825,0.999,0.987,9.33,38.13,0.857
Mendoza,Tercera,Cruz de Piedra,Naciente Chachingo,Hij. Rosa Grande,1126,0.17,,0.17,0.162,,0.162,0.95,0.051,0.951,4.07,0.813,0.888,0.8,13.45,34.01,0.825,0.999,0.987,9.33,38.13,0.857
Mendoza,Tercera,Cruz de Piedra,Naciente Chachingo,Hij. 1º Gutiérrez,1127,0.23,,0.217,0.2,,0.197,1.23,0.08,0.923,3.81,0.737,0.888,0.8,13.45,34.01,0.825,0.975,0.987,9.33,38.13,0.857
Mendoza,Tercera,Cruz de Piedra,Naciente Chachingo,Hij. 3° Gutiérrez,1129,0.12,,0.12,0.114,,0.114,1.23,0.043,0.958,2.11,0.913,0.888,0.8,13.45,34.01,0.825,0.988,0.987,9.33,38.13,0.857
Mendoza,Tercera,Cruz de Piedra,Naciente Chachingo,Hij. Bazán,1131,0.14,,0.152,0.111,,0.133,2.61,0.051,0.95,2.77,0.867,0.888,0.8,13.45,34.01,0.825,0.996,0.987,9.33,38.13,0.857
Mendoza,Tercera,Cruz de Piedra,Naciente Chachingo,Hij. Coquimbito,1132,0.15,,0.15,0.133,,0.133,0.97,0.128,0.88,3.35,0.652,0.888,0.8,13.45,34.01,0.825,0.999,0.987,9.33,38.13,0.857
Mendoza,Tercera,Cruz de Piedra,Naciente Chachingo,Hij. Pintos,1142,0.21,0.22,0.202,0.18,0.183,0.181,0.98,0.11,0.896,4.25,0.626,0.888,0.8,13.45,34.01,0.825,0.999,0.987,9.33,38.13,0.857
Mendoza,Tercera,Barrancas,Barrancas,Canal Barrancas,1178,1.18,1.17,1.175,1.072,1.079,1.076,4.47,0.02,0.98,8.41,0.847,0.847,0.924,12.09,0.38,0.849,1,1,0.08,12.39,0.85
Mendoza,Tercera,Barrancas,Barrancas,Hij. La Capilla,1179,0.13,0.12,0.125,0.104,0.098,0.101,2.66,0.081,0.922,0.98,0.924,0.847,0.924,12.09,0.38,0.849,0.999,1,0.08,12.39,0.85
Mendoza,Tercera,Céspedes,Céspedes,Canal Valle Hermoso,1183,0.06,0.06,0.06,0.052,0.051,0.051,2.92,0.053,0.948,6.43,0.711,0.647,0.903,28.5,3.2,0.673,0.999,0.978,6.74,24.96,0.738
Mendoza,Tercera,Céspedes,San Roque,Rama San Roque Unificada,1185,0.08,0.09,0.085,0.076,0.08,0.078,1.03,0.083,0.921,7.05,0.558,0.647,0.903,28.5,3.2,0.673,0.965,0.978,6.74,24.96,0.738
